"","ASSESSMENT","ID_NO","SCI_NAME","PRESENCE","ORIGIN","SEASONAL","COMPILER","YRCOMPILED"
"389",114115559,114115409,"Kalophrynus meizon",1,1,1,"Kelsey Neam",2018
"390",114115559,114115409,"Kalophrynus meizon",6,1,1,"Kelsey Neam",2018
"391",114139176,114139166,"Chiasmocleis migueli",1,1,1,"Sheila Andrade",2021
"392",114139321,114139318,"Chiasmocleis quilombola",1,1,1,"Ibere Machado",2021
"393",114139372,114139350,"Chiasmocleis altomontana",1,1,1,"Ibere Machado",2021
"394",114139372,114139350,"Chiasmocleis altomontana",3,1,1,"Ibere Machado",2021
"395",114139420,114139380,"Chiasmocleis veracruz",1,1,1,"Gabryella Mesquita",2021
"396",114516634,57853,"Kaloula mediolineata",1,1,1,"Jordann Crawford-Ash",2018
"397",114516634,57853,"Kaloula mediolineata",3,1,1,"Jordann Crawford-Ash",2018
"398",114915125,57854,"Kaloula picta",1,1,1,"IUCN",2017
"399",114915125,57854,"Kaloula picta",1,1,1,"Kelsey Neam",2017
"400",114919098,57836,"Kalophrynus heterochirus",1,1,1,"IUCN",2018
"401",114919098,57836,"Kalophrynus heterochirus",1,1,1,"Kelsey Neam",2018
"402",114919098,57836,"Kalophrynus heterochirus",1,1,1,"Louise Hobin",2018
"403",114919290,57840,"Kalophrynus minusculus",1,1,1,"IUCN",2018
"404",114919580,57888,"Nanohyla perparva",1,1,1,"IUCN",2018
"405",114919580,57888,"Nanohyla perparva",1,1,1,"Kelsey Neam",2018
"406",114919677,57909,"Oreophryne celebensis",1,1,1,"IUCN",2017
"407",114919788,57919,"Oreophryne jeffersoniana",1,1,1,"IUCN",2017
"408",114919880,57925,"Oreophryne monticola",1,1,1,"IUCN",2017
"409",114919983,57932,"Oreophryne variabilis",1,1,1,"IUCN",2017
"410",114926455,79098509,"Microhyla orientalis",1,1,1,"Louise Hobin",2017
"411",116009717,136107,"Kaloula aureata",1,1,1,"Timothy Cutajar",2020
"412",117297620,57820,"Glyphoglossus molossus",1,1,1,"Timothy Cutajar and Christopher Portway",2020
"413",123411320,88332834,"Kalophrynus calciphilus",1,1,1,"Louise Hobin",2018
"414",123576912,88333681,"Kalophrynus punctatus",1,1,1,"IUCN",2008
"415",123692711,57818,"Gastrophrynoides borneensis",1,1,1,"IUCN",2018
"416",123692711,57818,"Gastrophrynoides borneensis",1,1,1,"Kelsey Neam",2018
"417",123692988,57884,"Microhyla maculifera",1,1,1,"Kelsey Neam",2018
"418",123692988,57884,"Microhyla maculifera",3,1,1,"Kelsey Neam",2018
"419",124372878,154030581,"Chiasmocleis albopunctata",1,1,1,"Kelsey Neam",2021
"420",136926605,136926534,"Asterophrys foja",1,1,1,"Louise Hobin",2019
"421",136928206,136928157,"Austrochaperina punctata",1,1,1,"Louise Hobin",2019
"422",136928328,136928237,"Austrochaperina rudolfarndti",1,1,1,"Louise Hobin",2019
"423",136930484,136930471,"Choerophryne alainduboisi",1,1,1,"Louise Hobin",2019
"424",136930561,136930545,"Choerophryne bickfordi",1,1,1,"Louise Hobin",2019
"425",136930684,136930614,"Choerophryne bisyllaba",1,1,1,"Louise Hobin",2019
"426",136930739,136930735,"Choerophryne crucifer",1,1,1,"Louise Hobin",2019
"427",136930873,136930797,"Choerophryne multisyllaba",1,1,1,"Louise Hobin",2019
"428",136930960,136930941,"Choerophryne pipiens",1,1,1,"Louise Hobin",2019
"429",136931058,136928450,"Austrochaperina macrorhyncha",1,1,1,"Louise Hobin",2019
"430",136935394,136935374,"Oreophryne albitympanum",1,1,1,"Louise Hobin",2019
"431",136935546,136935497,"Oreophryne brunnea",1,1,1,"Lauren Warr",2019
"432",136935546,136935497,"Oreophryne brunnea",3,1,1,"Lauren Warr",2019
"433",136935557,136935554,"Oreophryne phoebe",1,1,1,"Louise Hobin",2019
"434",136936142,136936127,"Paedophryne titan",1,1,1,"Lauren Warr",2020
"435",149549356,57678,"Aphantophryne minuta",1,1,1,"IUCN",2019
"436",149551363,57679,"Aphantophryne pansa",1,1,1,"IUCN",2019
"437",149551363,57679,"Aphantophryne pansa",1,1,1,"Louise Hobin",2019
"438",149610046,57680,"Aphantophryne sabini",1,1,1,"IUCN",2019
"439",149615640,57730,"Callulops boettgeri",1,1,1,"IUCN",2019
"440",149617035,57733,"Callulops dubius",1,1,1,"IUCN",2019
"441",149618144,57735,"Callulops fuscus",1,1,1,"IUCN",2019
"442",149634654,57913,"Oreophryne frontifasciata",1,1,1,"IUCN",2019
"443",149635511,57924,"Oreophryne moluccensis",1,1,1,"IUCN",2019
"444",149680186,149680126,"Mysticellus franki",1,1,1,"Janice Chanson",2021
"445",150067198,149237705,"Microhyla beilunensis",1,1,1,"Lauren Warr",2019
"446",150088452,150088447,"Microhyla darreli",1,1,1,"Lauren Warr",2020
"447",150088465,150088460,"Microhyla aurantiventris",1,1,1,"Timothy Cutajar and Harry Leung",2020
"448",150088651,150088646,"Microhyla kodial",1,3,1,"Louise Hobin",2021
"449",150088664,150088659,"Microhyla laterite",1,1,1,"Janice Chanson",2020
"450",150088679,150088672,"Microhyla mihintalei",1,1,1,"Lauren Warr",2020
"451",150088694,150088689,"Microhyla taraiensis",1,1,1,"Louise Hobin",2020
