COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
AA 20202,Oreophryne (Genus of Microhylidae),38559,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Morobe Province, vic. Zare Village, Waria River = from A Allison field catalogue *;* -07.86691, 147.63458, 25 m = from email by A Allison dated 19 Mar 2010.","Zare Village vic., Waria River {Papua New Guinea: Morobe Prov.: Zare Village vic., Waria River    :    25 m    :    7.86691ºS [-7.86691]  147.63458ºE [147.63458].}",,Morobe Prov.,A Allison,20 Feb 2010,"-7.86691, 147.63458",25 m,Papua New Guinea,Morobe Prov.,"Zare Village vic., Waria River    ","Zare Village vic., Waria River",-7.86691,147.63458,7.86691ºS 147.63458ºE ,
AA 20203,Oreophryne (Genus of Microhylidae),38560,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Morobe Province, vic. Zare Village, Waria River = from A Allison field catalogue *;* -07.86691, 147.63458, 25 m = from email by A Allison dated 19 Mar 2010.","Zare Village vic., Waria River {Papua New Guinea: Morobe Prov.: Zare Village vic., Waria River    :    25 m    :    7.86691ºS [-7.86691]  147.63458ºE [147.63458].}",,Morobe Prov.,A Allison,20 Feb 2010,"-7.86691, 147.63458",25 m,Papua New Guinea,Morobe Prov.,"Zare Village vic., Waria River    ","Zare Village vic., Waria River",-7.86691,147.63458,7.86691ºS 147.63458ºE ,
FK 15503,Oreophryne (Genus of Microhylidae),38988,alcoholic,"installed, Feb 2016","Sota [ = Papua New Guinea: Milne Bay Prov., 9.75802°S, 149.18218°E, 1860m] = from F Kraus field catalogue",,,,F Kraus,27 Mar 2011,", ",,,,,,NA,NA,,
FK 15556,Oreophryne (Genus of Microhylidae),38989,alcoholic,"installed, Feb 2016","Sota [ = Papua New Guinea: Milne Bay Prov., 9.75802°S, 149.18218°E, 1860m] = from F Kraus field catalogue",,,,F Kraus,28 Mar 2011,", ",,,,,,NA,NA,,
FK 15694,Oreophryne (Genus of Microhylidae),38990,alcoholic,"installed, Feb 2016","Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,03 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15733,Oreophryne (Genus of Microhylidae),38991,alcoholic,"installed, Feb 2016","Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,04 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15616,Oreophryne (Genus of Microhylidae),38992,alcoholic,installed July 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,01 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15617,Oreophryne (Genus of Microhylidae),38993,alcoholic,installed July 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,01 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15677,Oreophryne (Genus of Microhylidae),38994,alcoholic,installed July 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,02 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15716,Oreophryne (Genus of Microhylidae),38996,alcoholic,installed July 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,04 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15103,Oreophryne (Genus of Microhylidae),39000,alcoholic,installed June 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,17 Mar 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15586,Oreophryne (Genus of Microhylidae),39001,alcoholic,installed June 2017,"Pt. 44 [ = Papua New Guinea: Milne Bay Prov., 9.72296°S, 149.23396°E, 1430m] = from F Kraus field catalogue",,,,F Kraus,31 Mar 2011,", ",,,,,,NA,NA,,
FK 15622,Oreophryne (Genus of Microhylidae),39002,alcoholic,installed June 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,01 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15652,Oreophryne (Genus of Microhylidae),39003,alcoholic,installed June 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,02 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15678,Oreophryne (Genus of Microhylidae),39004,alcoholic,installed June 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,03 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
FK 15679,Oreophryne (Genus of Microhylidae),39005,alcoholic,installed June 2017,"Binigua (Camp 1) [ = Papua New Guinea: Milne Bay Prov., 9.70712°S, 149.24985°E, 900m] = from F Kraus field catalogue",Binigua {Papua New Guinea: Milne Bay Prov.: Binigua    :    900 m    :    9.70712ºS  149.24985ºE.},,Milne Bay Prov.,F Kraus,03 Apr 2011,"-9.70712, 149.24985",900 m,Papua New Guinea,Milne Bay Prov.,Binigua    ,Binigua,-9.70712,149.24985,9.70712ºS 149.24985ºE,
