Amphibians of the World Entry,Sequenced? ,BPBM has specimen?,<- how many?,A or B?,Previously called a different genus?,Previous Name,Is it valid?,original description,Allen has?,taxonomic revision?,Allen has?,revision 2?,Allen has?,revision 3?,Allen has?,revision 4?,Allen has?
"Species: Oreophryne nicolasi Richards and Günther, 2019",N,N,,,N,,,"Richards, S. J., and R. Günther. 2019. Three new scansorial species of microhylid frogs (Anura: Cophixalus, Oreophryne) from Papua New Guinea. Salamandra 55: 55–72.",Y,,,,,,,,
"Species: Oreophryne oviprotector Günther, Richards, Bickford, and Johnston, 2012",N,N,,,N,,,"Günther, R., S. J. Richards, D. P. Bickford, and G. R. Johnston. 2012. A new egg-guarding species of Oreophryne (Amphibia, Anura, Microhylidae) from southern Papua New Guinea. Zoosystematics and Evolution. Mitteilungen aus dem Museum für Naturkunde in Berlin 88: 223–230.",Y,,,,,,,,
"Species: Oreophryne pseudasplenicola Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Further new species of the genus Oreophryne (Amphibia, Anura, Microhylidae) from western New Guinea. Zoologische Abhandlungen. Staatliches Museum für Tierkunde in Dresden 53: 65–85.",Y,,,,,,,,
"Species: Oreophryne pseudunicolor Günther and Richards, 2016",N,N,,,N,,,"Günther, R., and S. J. Richards. 2016. Description of two new species of the microhylid frog genus Oreophryne (Amphibia: Anura: Microhylidae) from southern Papua New Guinea. Vertebrate Zoology. Senckenberg 66: 157–168.",Y,,,,,,,,
"Species: Oreophryne roedeli Günther, 2015",N,N,,,N,,,"Günther, R. 2015. Two new Oreophryne species from the Fakfak Mountains, West Papua Province of Indonesia (Anura, Microhylidae). Vertebrate Zoology. Dresden 65: 357–370.",Y,,,,,,,,
"Species: Oreophryne rookmaakeri Mertens, 1927",N,N,,,N,,,"Mertens, R. 1927. Neue Amphibien und Reptilien aus dem Indo-Australischen Archipel, gesammelt während der Sunda-Expedition Rensch. Senckenbergiana Biologica 9: 234–242.",Y,,,,,,,,
"Species: Oreophryne sibilans Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Three new species of the genus Oreophryne from western Papua, Indonesia (Amphibia, Anura, Microhylidae). Spixiana. München 26: 175–191.",Y,,,,,,,,
"Species: Oreophryne streiffeleri Günther and Richards, 2012",N,N,,,N,,,"Günther, R., and S. J. Richards. 2012 ""2011"". Five new microhylid frog species from Enga Province, Papua New Guinea, and remarks on Albericus alpestris (Anura, Microhylidae). Vertebrate Zoology. Museum für Tierkunde, Dresden 61: 343–372.",Y,,,,,,,,
"Species: Oreophryne unicolor Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Three new species of the genus Oreophryne from western Papua, Indonesia (Amphibia, Anura, Microhylidae). Spixiana. München 26: 175–191.",Y,,,,,,,,
"Species: Oreophryne waira Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Further new species of the genus Oreophryne (Amphibia, Anura, Microhylidae) from western New Guinea. Zoologische Abhandlungen. Staatliches Museum für Tierkunde in Dresden 53: 65–85.",Y,,,,,,,,
"Species: Oreophryne wapoga Günther, Richards, and Iskandar, 2001",N,N,,,N,,,"Günther, R., S. J. Richards, and D. T. Iskandar. 2001. Two new species of the genus Oreophryne from Irian Jaya, Indonesia (Amphibia, Anura, Microhylidae). Spixiana. München 24: 257–274.",Y,,,,,,,,
"Species: Oreophryne wolterstorffi (Werner, 1901)",N,N,,,Y,Hylella wolterstorffi,?,"Werner, F. 1901. Ueber Reptilien und Batrachier aus Ecuador und Neu Guinea. Verhandlungen des Zoologisch-Botanischen Vereins in Wien 51: 593–614.",N,"Nieden, F. 1923. Anura I. Subordo Aglossa und Phaneroglossa, Sectio 1. Arcifera. Das Tierreich 46: xxxii + 584.",Y,"Tyler, M. J. 1964. Systematic position of the New Guinea frog Hylella wolterstorffi Werner. Records of the South Australian Museum 14: 675–678.",Y,,,,
"Species: Oreophryne zimmeri Ahl, 1933",N,N,,,N,,,"Ahl, E. 1933. Ergebnisse der Celebes- un Halmaheira-Expedition Heinrich 1930–32. I. Amphibien und Reptilien. Mitteilungen aus dem Zoologischen Museum in Berlin 19: 577–583.",N,,,,,,,,
Not Listed in AOTW (or listed in other genus),,,,,,,,,,,,,,,,,
