"","sp","orig.x","prev","curr","notes","species","citation.x","name","auth","orig.y","latitude","longitude","citation.y"
"42","insulana","Oreophryne insulana Zweifel, 1956","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne insulana","Zweifel, 1956","Oreophryne insulana","Zweifel, 1956","Oreophryne insulana Zweifel, 1956",-9.35274,150.24623,"Zweifel, 1956"
"43","jeffersoniana","Oreophryne jeffersoniana Dunn, 1928","Oreophryne","incertae sedis","","Oreophryne jeffersoniana","Dunn, 1928","Oreophryne jeffersoniana","Dunn, 1928","Oreophryne jeffersoniana Dunn, 1928",-8.56354,119.45504,"Dunn, 1928"
"44","kampeni","Oreophryne kampeni Parker, 1934","Oreophryne","incertae sedis","","Oreophryne kampeni","Parker, 1934","Oreophryne kampeni","Parker, 1934","Oreophryne kampeni Parker, 1934",-9.3713,147.57387,"Parker, 1934"
"45","kapisa","Oreophryne kapisa Günther, 2003","Oreophryne","incertae sedis","","Oreophryne kapisa","Günther, 2003","Oreophryne kapisa","Günther, 2003","Oreophryne kapisa Günther, 2003",-0.93333,135.98333,"Günther, 2003"
"46","lemur","Oreophryne lemur Kraus, 2016","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne lemur","Kraus, 2016","Oreophryne lemur","Kraus, 2016","Oreophryne lemur Kraus, 2016",-8.4553,147.263,"Kraus, 2016"
"47","loriae","Sphenophryne loriae Boulenger, 1898","Oreophryne","Oreophryne","Retained in Oreophryne","Sphenophryne loriae","Boulenger, 1898","Sphenophryne loriae","Boulenger, 1898","Oreophryne loriae (Boulenger, 1898)",-9.3713,147.57387,"(Boulenger, 1898)"
"48","matawan","Oreophryne matawan Kraus, 2016","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne matawan","Kraus, 2016","Oreophryne matawan","Kraus, 2016","Oreophryne matawan Kraus, 2016",-10.0211,149.593,"Kraus, 2016"
"49","meliades","Oreophryne meliades Kraus, 2016","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne meliades","Kraus, 2016","Oreophryne meliades","Kraus, 2016","Oreophryne meliades Kraus, 2016",-11.4347,153.4311,"Kraus, 2016"
"50","mertoni","Sphenophryne mertoni Roux, 1910","Oreophryne","incertae sedis","","Sphenophryne mertoni","Roux, 1910","Sphenophryne mertoni","Roux, 1910","Oreophryne mertoni (Roux, 1910)",-5.68438,134.25228,"(Roux, 1910)"
"51","minuta","Oreophryne minuta Richards and Iskandar, 2000","Oreophryne","incertae sedis","","Oreophryne minuta","Richards and Iskandar, 2000","Oreophryne minuta","Richards and Iskandar, 2000","Oreophryne minuta Richards and Iskandar, 2000",-3.44212,136.47275,"Richards and Iskandar, 2000"
"52","moluccensis","Microhyla achatina var. moluccensis Peters and Doria, 1878","Oreophryne","Oreophryne","Retained in Oreophryne","Microhyla achatina","var. moluccensis Peters and Doria, 1878","Microhyla achatina","var. moluccensis Peters and Doria, 1878","Oreophryne moluccensis (Peters and Doria, 1878)",-0.62533,127.49493,"(Peters and Doria, 1878)"
"53","monticola","Sphenophryne monticola Boulenger, 1897","Oreophryne","incertae sedis","","Sphenophryne monticola","Boulenger, 1897","Sphenophryne monticola","Boulenger, 1897","Oreophryne monticola (Boulenger, 1897)",-8.46713,116.2212,"(Boulenger, 1897)"
"54","nana","Oreophryne nana Brown & Alcala, 1967","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne nana","Brown & Alcala, 1967","Oreophryne nana","Brown & Alcala, 1967",NA,NA,NA,NA
"55","nicolasi","Oreophryne nicolasi Richards and Günther, 2019","Oreophryne","incertae sedis","","Oreophryne nicolasi","Richards and Günther, 2019","Oreophryne nicolasi","Richards and Günther, 2019","Oreophryne nicolasi Richards and Günther, 2019",-6.0205,142.5473,"Richards and Günther, 2019"
"56","notata","Oreophryne notata Zweifel, 2003","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne notata","Zweifel, 2003","Oreophryne notata","Zweifel, 2003","Oreophryne notata Zweifel, 2003",-6.24786,143.9777,"Zweifel, 2003"
"57","oviprotector","Oreophryne oviprotector Günther, Richards, Bickford, and Johnston, 2012","Oreophryne","incertae sedis","","Oreophryne oviprotector","Günther, Richards, Bickford, and Johnston, 2012","Oreophryne oviprotector","Günther, Richards, Bickford, and Johnston, 2012","Oreophryne oviprotector Günther, Richards, Bickford, and Johnston, 2012",-5.72918,142.26328,"Günther, Richards, Bickford, and Johnston, 2012"
"58","parkeri","Oreophryne parkeri Loveridge, 1955","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne parkeri","Loveridge, 1955","Oreophryne parkeri","Loveridge, 1955",NA,NA,NA,NA
